10	29	Ne	18399.801	149.505
11	29	Na	2679.994	7.337
12	29	Mg	-10602.829	11.4
13	29	Al	-18207.76	0.345
14	29	Si	-21895.07838	0.00056
15	29	P	-16952.848	0.359
16	29	S	-3156.416	50
17	29	Cl	13162.176	188.68
9	30	F	48112#	596#
10	30	Ne	23280.117	253.25
11	30	Na	8474.67	4.727
12	30	Mg	-8883.82	3.447
13	30	Al	-15864.844	2.888
14	30	Si	-24432.96	0.022
15	30	P	-20200.854	0.065
16	30	S	-14059.253	0.206
17	30	Cl	4443#	196#
18	30	Ar	20931.147	206.155
9	31	F	56143#	546#
10	31	Ne	31181.591	266.195
11	31	Na	12246.031	13.972
12	31	Mg	-3122.151	3.074
13	31	Al	-14950.706	2.236
14	31	Si	-22949.036	0.043
15	31	P	-24440.54095	0.00067
16	31	S	-19042.525	0.229
17	31	Cl	-7034.551	3.447
18	31	Ar	11325#	200#
10	32	Ne	36999#	503#
11	32	Na	18640.151	37.26
12	32	Mg	-828.9	3.26
13	32	Al	-11099.367	7.173
14	32	Si	-24077.686	0.298
15	32	P	-24304.874	0.04
16	32	S	-26015.53355	0.00132
17	32	Cl	-13334.674	0.562
18	32	Ar	-2200.351	1.77
19	32	K	21098#	401#
10	33	Ne	45997#	596#
11	33	Na	23780.11	449.912
12	33	Mg	4962.297	2.888
13	33	Al	-8497.38	6.986
14	33	Si	-20514.325	0.699
15	33	P	-26337.346	1.09
16	33	S	-26585.85434	0.00135
17	33	Cl	-21003.337	0.391
18	33	Ar	-9384.292	0.401
19	33	K	7042#	196#
10	34	Ne	52842#	513#
11	34	Na	31680.111	599.416
12	34	Mg	8323.348	28.876
13	34	Al	-3000.289	3.074
14	34	Si	-19956.852	14.118
15	34	P	-24548.698	0.81
16	34	S	-29931.685	0.045
17	34	Cl	-24440.082	0.049
18	34	Ar	-18378.29	0.078
19	34	K	-1220#	196#
20	34	Ca	13851#	298#
11	35	Na	38231#	670#
12	35	Mg	15639.784	269.668
13	35	Al	-223.728	7.359
14	35	Si	-14391.457	35.857
15	35	P	-24857.799	1.866
16	35	S	-28846.206	0.04
17	35	Cl	-29013.528	0.035
18	35	Ar	-23047.284	0.68
19	35	K	-11172.891	0.512
20	35	Ca	4788#	196#
11	36	Na	46303#	678#
12	36	Mg	20380.157	690.237
13	36	Al	5950.384	149.505
14	36	Si	-12436.124	71.797
15	36	P	-20251.034	13.114
16	36	S	-30664.131	0.188
17	36	Cl	-29522.005	0.036
18	36	Ar	-30231.54	0.027
19	36	K	-17417.065	0.341
20	36	Ca	-6451.149	40
21	36	Sc	15351#	298#
11	37	Na	53534#	687#
12	37	Mg	28211.474	698.947
13	37	Al	9809.563	180.244
14	37	Si	-6571.511	113.809
15	37	P	-18995.998	37.948
16	37	S	-26896.417	0.198
17	37	Cl	-31761.538	0.052
18	37	Ar	-30947.664	0.207
19	37	K	-24800.199	0.094
20	37	Ca	-13136.066	0.634
21	37	Sc	3520#	300#
